* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160223_CH_Mcap_5.eds
* Experiment Run End Time = 2016-02-23 14:16:56 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	AMPNC	HIGHSD	NOAMP
A1																		N	N	N
A2	65-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	29.0278	28.4749	0.7819				false	0.01	true	3	25		N	Y	N
A3	65-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	27.922	28.4749	0.7819				false	0.01	true	3	23		N	Y	N
A4	(+)78-10.24.14	Mc	UNKNOWN	FAM	NFQ-MGB	27.8688	27.9226	0.0761				false	0.01	true	3	25		N	N	N
A5	137-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	27.1222	26.997	0.177				false	0.01	true	3	24		N	N	N
A6	137-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	26.8719	26.997	0.177				false	0.01	true	3	24		N	N	N
A7	137-1.20.16	C	UNKNOWN	VIC	NFQ-MGB	26.589	26.3674	0.3134				false	0.01	false	3	20		N	N	N
A7	137-1.20.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
A8	137-1.20.16	C	UNKNOWN	VIC	NFQ-MGB	26.1458	26.3674	0.3134				false	0.01	false	3	20		N	N	N
A8	137-1.20.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
A9	(+)78-10.24.14	C	UNKNOWN	VIC	NFQ-MGB	31.1088	31.1585	0.0703				false	0.01	false	3	20		N	N	N
