* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160301_CH_Mcap_14.eds
* Experiment Run End Time = 2016-03-01 14:04:25 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	AMPNC	HIGHSD
A1																		N	N
A2	215-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	34.0768	34.0868	0.0141				false	0.01	true	3	29		N	N
A3	215-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	34.0967	34.0868	0.0141				false	0.01	true	3	29		N	N
A4	(+)208-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	23.9382	23.9382					false	0.01	true	3	8		N	N
A5	206-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	26.8066	27.0363	0.3248				false	0.01	true	3	22		N	N
A6	206-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	27.2659	27.0363	0.3248				false	0.01	true	3	23		N	N
A7	206-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	30.1803	30.1019	0.1108				false	0.01	false	3	20		N	N
A7	206-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	29.3649	29.1665	0.2806				false	0.01	false	3	20		N	N
A8	206-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	30.0236	30.1019	0.1108				false	0.01	false	3	20		N	N
A8	206-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	28.968	29.1665	0.2806				false	0.01	false	3	20		N	N
A9	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
A9	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
A10	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
A10	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
A11	(+)208-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	28.8727	28.6004	0.385				false	0.01	false	3	20		N	Y
A11	(+)208-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	26.9522	26.348	0.8544				false	0.01	false	3	20		N	Y
A12																		N	N
B1	215-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	31.7466	31.4782	0.3795				false	0.01	true	3	26		N	N
B2	215-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	31.2099	31.4782	0.3795				false	0.01	true	3	27		N	N
B3	215-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	33.7892	33.5427	0.3485				false	0.01	false	3	20		N	N
B3	215-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	28.2528	28.5131	0.3682				false	0.01	false	3	20		N	N
B4	215-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	33.2963	33.5427	0.3485				false	0.01	false	3	20		N	N
B4	215-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	28.7735	28.5131	0.3682				false	0.01	false	3	20		N	N
B5	138-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	32.9164	32.8748	0.0588				false	0.01	true	3	29		N	N
B6	138-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	32.8332	32.8748	0.0588				false	0.01	true	3	27		N	N
B7	138-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
B7	138-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	28.5361	28.4499	0.1219				false	0.01	false	3	20		N	N
B8	138-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
B8	138-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	28.3637	28.4499	0.1219				false	0.01	false	3	20		N	N
B9	80-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	35.9677	35.6155	0.4981				false	0.01	true	3	31		N	N
