Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160225_CH_Mcap_9.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-25 14:34:42 PM HST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD
A1,,,,,,,,,,,,,,,,,,N,N
A2,122-9.14.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.867836,27.9318428,0.090517946,,,,FALSE,0.01,TRUE,3,24,,N,N
A3,122-9.14.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.9958477,27.9318428,0.090517946,,,,FALSE,0.01,TRUE,3,24,,N,N
A4,(+)78-10.24.14,Mc,UNKNOWN,FAM,NFQ-MGB,27.74717903,27.85918808,0.158406064,,,,FALSE,0.01,TRUE,3,25,,N,N
A5,19-8.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.21356773,25.28290939,0.098065265,,,,FALSE,0.01,TRUE,3,21,,N,N
A6,19-8.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.35225296,25.28290939,0.098065265,,,,FALSE,0.01,TRUE,3,21,,N,N
A7,19-8.11.15,C,UNKNOWN,VIC,NFQ-MGB,25.46080017,25.4978714,0.052426632,,,,FALSE,0.01,FALSE,3,20,,N,N
A7,19-8.11.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
A8,19-8.11.15,C,UNKNOWN,VIC,NFQ-MGB,25.53494263,25.4978714,0.052426632,,,,FALSE,0.01,FALSE,3,20,,N,N
A8,19-8.11.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
A9,(+)78-10.24.14,C,UNKNOWN,VIC,NFQ-MGB,30.87398911,30.89284325,0.026663782,,,,FALSE,0.01,FALSE,3,20,,N,N
A9,(+)78-10.24.14,D,UNKNOWN,FAM,NFQ-MGB,30.44690514,30.50620461,0.083862111,,,,FALSE,0.01,FALSE,3,20,,N,N
A10,(+)78-10.24.14,C,UNKNOWN,VIC,NFQ-MGB,30.91169739,30.89284325,0.026663782,,,,FALSE,0.01,FALSE,3,20,,N,N
A10,(+)78-10.24.14,D,UNKNOWN,FAM,NFQ-MGB,30.56550407,30.50620461,0.083862111,,,,FALSE,0.01,FALSE,3,20,,N,N
A11,NTC,Mc,NTC,FAM,NFQ-MGB,8.855529785,,,,,,FALSE,0.01,TRUE,3,39,,Y,N
A12,,,,,,,,,,,,,,,,,,N,N
B1,122-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.42290878,27.14505386,0.392944843,,,,FALSE,0.01,TRUE,3,23,,N,N
B2,122-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.86720085,27.14505386,0.392944843,,,,FALSE,0.01,TRUE,3,23,,N,N
B3,122-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,28.6332283,28.57551384,0.081620574,,,,FALSE,0.01,FALSE,3,20,,N,N
B3,122-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,36.46894836,36.46894836,,,,,FALSE,0.01,FALSE,3,20,,N,N
B4,122-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,28.51779938,28.57551384,0.081620574,,,,FALSE,0.01,FALSE,3,20,,N,N
B4,122-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.46894836,,,,,FALSE,0.01,FALSE,3,20,,N,N
B5,19-9.14.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.64278221,25.47377396,0.239015117,,,,FALSE,0.01,TRUE,3,22,,N,N
B6,19-9.14.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.30476379,25.47377396,0.239015117,,,,FALSE,0.01,TRUE,3,21,,N,N
B7,19-9.14.15,C,UNKNOWN,VIC,NFQ-MGB,30.10769844,30.27986145,0.243475258,,,,FALSE,0.01,FALSE,3,20,,N,N
B7,19-9.14.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
B8,19-9.14.15,C,UNKNOWN,VIC,NFQ-MGB,30.45202446,30.27986145,0.243475258,,,,FALSE,0.01,FALSE,3,20,,N,N
B8,19-9.14.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
