Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160222_CH_Mcap_2.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-22 12:59:02 PM HST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N,N
A2,69-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,29.0903511,29.25998688,0.239899859,,,,FALSE,0.01,TRUE,3,24,,N,N,N
A3,69-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,29.42962074,29.25998688,0.239899859,,,,FALSE,0.01,TRUE,3,24,,N,N,N
A4,(+)78-10.24.14,Mc,UNKNOWN,FAM,NFQ-MGB,28.80828094,28.48855019,0.452167571,,,,FALSE,0.01,TRUE,3,22,,N,N,N
A5,58-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.72892189,28.21007538,0.733761132,,,,FALSE,0.01,TRUE,3,25,,N,Y,N
A6,58-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.69122696,28.21007538,0.733761132,,,,FALSE,0.01,TRUE,3,24,,N,Y,N
A7,58-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,35.30327988,35.38095856,0.109856941,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A7,58-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,29.69915199,29.81319046,0.161273405,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A8,58-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,35.45864105,35.38095856,0.109856941,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A8,58-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,29.92722702,29.81319046,0.161273405,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A9,(+)78-10.24.14,C,UNKNOWN,VIC,NFQ-MGB,30.30584908,30.28198814,0.033744454,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A9,(+)78-10.24.14,D,UNKNOWN,FAM,NFQ-MGB,29.74087524,29.54331207,0.279396504,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A10,(+)78-10.24.14,C,UNKNOWN,VIC,NFQ-MGB,30.25812721,30.28198814,0.033744454,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A10,(+)78-10.24.14,D,UNKNOWN,FAM,NFQ-MGB,29.3457489,29.54331207,0.279396504,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A11,,,,,,,,,,,,,,,,,,N,N,N
