Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160229_CH_Mcap_10.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-29 12:39:19 PM HST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD
A1,,,,,,,,,,,,,,,,,,N,N
A2,8-8.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.63151932,25.24479675,0.546908319,,,,FALSE,0.01,TRUE,3,19,,N,Y
A3,8-8.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,24.85807419,25.24479675,0.546908319,,,,FALSE,0.01,TRUE,3,19,,N,Y
A4,(+)208-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.25281143,26.37899399,0.178447738,,,,FALSE,0.01,TRUE,3,23,,N,N
A5,8-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,28.97698021,28.96381187,0.018622838,,,,FALSE,0.01,TRUE,3,25,,N,N
A6,8-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,28.95064354,28.96381187,0.018622838,,,,FALSE,0.01,TRUE,3,25,,N,N
A7,8-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,33.14664459,33.14722443,0.000822706,,,,FALSE,0.01,FALSE,3,20,,N,N
A7,8-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,28.98620796,28.85102463,0.191179454,,,,FALSE,0.01,FALSE,3,20,,N,N
A8,8-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,33.14780807,33.14722443,0.000822706,,,,FALSE,0.01,FALSE,3,20,,N,N
A8,8-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,28.71583939,28.85102463,0.191179454,,,,FALSE,0.01,FALSE,3,20,,N,N
A9,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
A9,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
A10,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
