Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160223_CH_Mcap_4.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-23 12:37:55 PM HST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD
A1,,,,,,,,,,,,,,,,,,N,N
A2,211-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,27.61892509,27.51037216,0.153517023,,,,FALSE,0.01,TRUE,3,24,,N,N
A3,211-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,27.40181923,27.51037216,0.153517023,,,,FALSE,0.01,TRUE,3,22,,N,N
A4,(+)78-10.24.14,Mc,UNKNOWN,FAM,NFQ-MGB,28.37470436,28.07018089,0.430661231,,,,FALSE,0.01,TRUE,3,25,,N,N
A5,52-1.20.15,Mc,UNKNOWN,FAM,NFQ-MGB,29.37022209,29.40803528,0.053474572,,,,FALSE,0.01,TRUE,3,25,,N,N
A6,52-1.20.15,Mc,UNKNOWN,FAM,NFQ-MGB,29.44584656,29.40803528,0.053474572,,,,FALSE,0.01,TRUE,3,25,,N,N
A7,52-1.20.15,C,UNKNOWN,VIC,NFQ-MGB,28.87376022,28.69074821,0.25881806,,,,FALSE,0.01,FALSE,3,20,,N,N
A7,52-1.20.15,D,UNKNOWN,FAM,NFQ-MGB,30.73526955,30.5942421,0.199441582,,,,FALSE,0.01,FALSE,3,20,,N,N
A8,52-1.20.15,C,UNKNOWN,VIC,NFQ-MGB,28.50773621,28.69074821,0.25881806,,,,FALSE,0.01,FALSE,3,20,,N,N
A8,52-1.20.15,D,UNKNOWN,FAM,NFQ-MGB,30.45321655,30.5942421,0.199441582,,,,FALSE,0.01,FALSE,3,20,,N,N
A9,(+)78-10.24.14,C,UNKNOWN,VIC,NFQ-MGB,31.14456367,31.01503944,0.183174923,,,,FALSE,0.01,FALSE,3,20,,N,N
A9,(+)78-10.24.14,D,UNKNOWN,FAM,NFQ-MGB,30.34532166,30.37849236,0.046910454,,,,FALSE,0.01,FALSE,3,20,,N,N
A10,(+)78-10.24.14,C,UNKNOWN,VIC,NFQ-MGB,30.88551521,31.01503944,0.183174923,,,,FALSE,0.01,FALSE,3,20,,N,N
A10,(+)78-10.24.14,D,UNKNOWN,FAM,NFQ-MGB,30.41166306,30.37849236,0.046910454,,,,FALSE,0.01,FALSE,3,20,,N,N
A11,,,,,,,,,,,,,,,,,,N,N
A12,,,,,,,,,,,,,,,,,,N,N
B1,52-8.11.16,Mc,UNKNOWN,FAM,NFQ-MGB,26.81413269,26.61415863,0.282804668,,,,FALSE,0.01,TRUE,3,23,,N,N
B2,52-8.11.16,Mc,UNKNOWN,FAM,NFQ-MGB,26.41418648,26.61415863,0.282804668,,,,FALSE,0.01,TRUE,3,21,,N,N
B3,52-8.11.16,C,UNKNOWN,VIC,NFQ-MGB,28.4328022,28.64046478,0.293679237,,,,FALSE,0.01,FALSE,3,20,,N,N
B3,52-8.11.16,D,UNKNOWN,FAM,NFQ-MGB,29.54016685,29.85227585,0.441390127,,,,FALSE,0.01,FALSE,3,20,,N,N
B4,52-8.11.16,C,UNKNOWN,VIC,NFQ-MGB,28.84812737,28.64046478,0.293679237,,,,FALSE,0.01,FALSE,3,20,,N,N
B4,52-8.11.16,D,UNKNOWN,FAM,NFQ-MGB,30.16438675,29.85227585,0.441390127,,,,FALSE,0.01,FALSE,3,20,,N,N
B5,40-8.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,24.30428696,24.13107681,0.244957477,,,,FALSE,0.01,TRUE,3,19,,N,N
B6,40-8.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,23.95786476,24.13107681,0.244957477,,,,FALSE,0.01,TRUE,3,20,,N,N
B7,40-8.11.15,C,UNKNOWN,VIC,NFQ-MGB,26.43078232,26.55439377,0.174811646,,,,FALSE,0.01,FALSE,3,20,,N,N
B7,40-8.11.15,D,UNKNOWN,FAM,NFQ-MGB,29.81907845,29.87826157,0.083697572,,,,FALSE,0.01,FALSE,3,20,,N,N
B8,40-8.11.15,C,UNKNOWN,VIC,NFQ-MGB,26.67800331,26.55439377,0.174811646,,,,FALSE,0.01,FALSE,3,20,,N,N
B8,40-8.11.15,D,UNKNOWN,FAM,NFQ-MGB,29.93744469,29.87826157,0.083697572,,,,FALSE,0.01,FALSE,3,20,,N,N
B9,65-8.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.7019825,26.64118195,0.085986316,,,,FALSE,0.01,TRUE,3,23,,N,N
B10,65-8.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.58037949,26.64118195,0.085986316,,,,FALSE,0.01,TRUE,3,23,,N,N
