Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160225_CH_Mcap_8.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-25 12:56:02 PM HST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD
A1,,,,,,,,,,,,,,,,,,N,N
A2,32-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,33.47346115,33.22858047,0.346313566,,,,FALSE,0.01,TRUE,3,29,,N,N
A3,32-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,32.9836998,33.22858047,0.346313566,,,,FALSE,0.01,TRUE,3,29,,N,N
A4,(+)78-10.24.14,C,UNKNOWN,VIC,NFQ-MGB,30.90784264,31.05224991,0.204224065,,,,FALSE,0.01,FALSE,3,20,,N,N
A4,(+)78-10.24.14,D,UNKNOWN,FAM,NFQ-MGB,30.79780388,30.92059708,0.173654452,,,,FALSE,0.01,FALSE,3,20,,N,N
A5,65-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,33.18152618,33.29547882,0.161153361,,,,FALSE,0.01,TRUE,3,28,,N,N
A6,65-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,33.40943146,33.29547882,0.161153361,,,,FALSE,0.01,TRUE,3,29,,N,N
A7,65-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,28.01302338,28.29153061,0.393867344,,,,FALSE,0.01,FALSE,3,20,,N,N
A7,65-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
A8,65-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,28.57003593,28.29153061,0.393867344,,,,FALSE,0.01,FALSE,3,20,,N,N
A8,65-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
A9,NTC,Mc,NTC,FAM,NFQ-MGB,11.65658379,,,,,,FALSE,0.01,TRUE,3,39,,Y,N
A10,NTC,Mc,NTC,FAM,NFQ-MGB,10.17096329,,,,,,FALSE,0.01,TRUE,3,39,,Y,N
A11,(+)78-10.24.14,Mc,UNKNOWN,FAM,NFQ-MGB,28.79169464,28.65155602,0.198185951,,,,FALSE,0.01,TRUE,3,23,,N,N
A12,,,,,,,,,,,,,,,,,,N,N
B1,126-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,33.5846138,33.37015152,0.303295463,,,,FALSE,0.01,TRUE,3,29,,N,N
B2,126-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,33.15568924,33.37015152,0.303295463,,,,FALSE,0.01,TRUE,3,29,,N,N
B3,126-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
B3,126-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,30.50580597,30.09809303,0.576593161,,,,FALSE,0.01,FALSE,3,20,,N,Y
B4,126-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
B4,126-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,29.6903801,30.09809303,0.576593161,,,,FALSE,0.01,FALSE,3,20,,N,Y
B5,131-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,33.65042877,33.76625824,0.163807601,,,,FALSE,0.01,TRUE,3,29,,N,N
B6,131-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,33.88208771,33.76625824,0.163807601,,,,FALSE,0.01,TRUE,3,29,,N,N
B7,131-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,28.60535622,28.63656425,0.044134833,,,,FALSE,0.01,FALSE,3,20,,N,N
B7,131-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
B8,131-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,28.66777229,28.63656425,0.044134833,,,,FALSE,0.01,FALSE,3,20,,N,N
B8,131-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
B9,138-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,Undetermined,26.5327549,,,,,FALSE,0.01,TRUE,1,2,,N,N
B10,138-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.5327549,26.5327549,,,,,FALSE,0.01,TRUE,3,22,,N,N
B11,138-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,37.64663315,37.64663315,,,,,FALSE,0.01,FALSE,3,20,,N,N
B11,138-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,30.75212669,30.4177475,0.472882241,,,,FALSE,0.01,FALSE,3,20,,N,N
B12,138-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,37.64663315,,,,,FALSE,0.01,FALSE,3,20,,N,N
B12,138-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,30.08337021,30.4177475,0.472882241,,,,FALSE,0.01,FALSE,3,20,,N,N
C1,58-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,33.99847412,33.90518188,0.131935149,,,,FALSE,0.01,TRUE,3,30,,N,N
C2,58-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,33.81188965,33.90518188,0.131935149,,,,FALSE,0.01,TRUE,3,30,,N,N
C3,58-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,34.17696762,33.83881378,0.478224456,,,,FALSE,0.01,FALSE,3,20,,N,N
C3,58-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,29.2370472,29.0358181,0.284580916,,,,FALSE,0.01,FALSE,3,20,,N,N
C4,58-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,33.50065613,33.83881378,0.478224456,,,,FALSE,0.01,FALSE,3,20,,N,N
C4,58-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,28.834589,29.0358181,0.284580916,,,,FALSE,0.01,FALSE,3,20,,N,N
C5,112-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,30.88625526,31.177845,0.412371516,,,,FALSE,0.01,TRUE,3,27,,N,N
C6,112-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,31.46943665,31.177845,0.412371516,,,,FALSE,0.01,TRUE,3,27,,N,N
C7,112-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,35.91275406,35.80938721,0.146185502,,,,FALSE,0.01,FALSE,3,20,,N,N
C7,112-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,28.80837631,28.65802193,0.212633207,,,,FALSE,0.01,FALSE,3,20,,N,N
C8,112-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,35.70601654,35.80938721,0.146185502,,,,FALSE,0.01,FALSE,3,20,,N,N
C8,112-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,28.50766754,28.65802193,0.212633207,,,,FALSE,0.01,FALSE,3,20,,N,N
C9,138-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.33489227,27.28689194,0.067884073,,,,FALSE,0.01,TRUE,3,24,,N,N
C10,138-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.23888969,27.28689194,0.067884073,,,,FALSE,0.01,TRUE,3,23,,N,N
C11,138-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,39.21437836,,,,,FALSE,0.01,FALSE,3,20,,N,N
C11,138-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,29.47735214,29.71167183,0.331378073,,,,FALSE,0.01,FALSE,3,20,,N,N
C12,138-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,39.21437836,39.21437836,,,,,FALSE,0.01,FALSE,3,20,,N,N
C12,138-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,29.94599152,29.71167183,0.331378073,,,,FALSE,0.01,FALSE,3,20,,N,N
D1,69-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,32.70212555,32.72202682,0.028144654,,,,FALSE,0.01,TRUE,3,29,,N,N
D2,69-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,32.7419281,32.72202682,0.028144654,,,,FALSE,0.01,TRUE,3,27,,N,N
