* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160219_RC_Mcap_1.eds
* Experiment Run End Time = 2016-02-19 10:36:09 AM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	AMPNC	HIGHSD	EXPFAIL
A1																		N	N	N
A2	237_10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.9003	29.9259	0.0362				false	0.01	true	3	26		N	N	N
A3	237_10.21.15	C	UNKNOWN	VIC	NFQ-MGB	28.5393	28.74	0.2838				false	0.01	false	3	20		N	N	N
A3	237_10.21.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
A4	+	C	UNKNOWN	VIC	NFQ-MGB	29.775	30.0638	0.4084				false	0.01	false	3	20		N	N	N
A4	+	D	UNKNOWN	FAM	NFQ-MGB	29.7473	29.6321	0.1629				false	0.01	false	3	20		N	N	N
A5	32_09.14.15	Mc	UNKNOWN	FAM	NFQ-MGB	24.8686	25.2376	0.5217				false	0.01	true	3	22		N	Y	N
A6	32_09.14.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.6065	25.2376	0.5217				false	0.01	true	3	22		N	Y	N
A7	32_09.14.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
A7	32_09.14.15	D	UNKNOWN	FAM	NFQ-MGB	28.2668	28.1105	0.2212				false	0.01	false	3	20		N	N	N
A8	32_09.14.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
A8	32_09.14.15	D	UNKNOWN	FAM	NFQ-MGB	27.9541	28.1105	0.2212				false	0.01	false	3	20		N	N	N
A9	+	Mc	UNKNOWN	FAM	NFQ-MGB	25.9921	26.1651	0.2446				false	0.01	true	3	24		N	N	N
A10	+	Mc	UNKNOWN	FAM	NFQ-MGB	26.3381	26.1651	0.2446				false	0.01	true	3	23		N	N	N
A11																		N	N	N
A12																		N	N	N
B1	202_10.01.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.0791	24.7306	0.4929				false	0.01	true	3	22		N	N	N
B2	202_10.01.15	Mc	UNKNOWN	FAM	NFQ-MGB	24.382	24.7306	0.4929				false	0.01	true	3	21		N	N	N
B3	202_10.01.15	C	UNKNOWN	VIC	NFQ-MGB	26.5367	26.5537	0.0241				false	0.01	false	3	20		N	N	N
B3	202_10.01.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
B4	202_10.01.15	C	UNKNOWN	VIC	NFQ-MGB	26.5707	26.5537	0.0241				false	0.01	false	3	20		N	N	N
B4	202_10.01.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
B5	32_10.01.15	Mc	UNKNOWN	FAM	NFQ-MGB	23.5689	23.6625	0.1324				false	0.01	true	3	21		N	N	N
B6	32_10.01.15	Mc	UNKNOWN	FAM	NFQ-MGB	23.7561	23.6625	0.1324				false	0.01	true	3	21		N	N	N
B7	32_10.01.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
B7	32_10.01.15	D	UNKNOWN	FAM	NFQ-MGB	27.5401	27.4763	0.0902				false	0.01	false	3	20		N	N	N
B8	32_10.01.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
B8	32_10.01.15	D	UNKNOWN	FAM	NFQ-MGB	27.4125	27.4763	0.0902				false	0.01	false	3	20		N	N	N
B9	126_10.01.15	Mc	UNKNOWN	FAM	NFQ-MGB	23.8677	23.8803	0.0179				false	0.01	true	3	22		N	N	N
B10	126_10.01.15	Mc	UNKNOWN	FAM	NFQ-MGB	23.8929	23.8803	0.0179				false	0.01	true	3	21		N	N	N
B11	126_10.01.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y	N
B11	126_10.01.15	D	UNKNOWN	FAM	NFQ-MGB	29.0385	30.596	2.2027				false	0.01	false	3	20		N	Y	N
B12	126_10.01.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	Y	N
B12	126_10.01.15	D	UNKNOWN	FAM	NFQ-MGB	32.1536	30.596	2.2027				false	0.01	false	3	20		N	Y	N
C1	202_10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	24.8474	24.6842	0.2308				false	0.01	true	3	22		N	N	N
C2	202_10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	24.5211	24.6842	0.2308				false	0.01	true	3	23		N	N	N
C3	202_10.21.15	C	UNKNOWN	VIC	NFQ-MGB	28.4337	28.4578	0.0341				false	0.01	false	3	20		N	N	N
C3	202_10.21.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
C4	202_10.21.15	C	UNKNOWN	VIC	NFQ-MGB	28.4819	28.4578	0.0341				false	0.01	false	3	20		N	N	N
C4	202_10.21.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
