* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160222_CH_Mcap_3.eds
* Experiment Run End Time = 2016-02-22 14:54:21 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	AMPNC	HIGHSD	EXPFAIL
A1																		N	N	N
A2	211-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.8409	29.4003	0.7911				false	0.01	true	3	24		N	Y	N
A3	211-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.9596	29.4003	0.7911				false	0.01	true	3	27		N	Y	N
A4	(+)78-10.24.14	Mc	UNKNOWN	FAM	NFQ-MGB	27.3684	27.5324	0.2321				false	0.01	true	3	25		N	N	N
A5	121-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.4029	28.4842	0.115				false	0.01	true	3	25		N	N	N
A6	121-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.5656	28.4842	0.115				false	0.01	true	3	26		N	N	N
A7	121-8.11.15	C	UNKNOWN	VIC	NFQ-MGB	29.2084	29.0912	0.1657				false	0.01	false	5	20		N	N	N
A7	121-8.11.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	5	20		N	N	N
A8	121-8.11.15	C	UNKNOWN	VIC	NFQ-MGB	28.974	29.0912	0.1657				false	0.01	false	5	20		N	N	N
A8	121-8.11.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	5	20		N	N	N
A9	(+)78-10.24.14	C	UNKNOWN	VIC	NFQ-MGB	30.9502	30.9798	0.0418				false	0.01	false	5	20		N	N	N
A9	(+)78-10.24.14	D	UNKNOWN	FAM	NFQ-MGB	30.269	30.3422	0.1035				false	0.01	false	5	20		N	N	N
A10	(+)78-10.24.14	C	UNKNOWN	VIC	NFQ-MGB	31.0093	30.9798	0.0418				false	0.01	false	5	20		N	N	N
A10	(+)78-10.24.14	D	UNKNOWN	FAM	NFQ-MGB	30.4154	30.3422	0.1035				false	0.01	false	5	20		N	N	N
A11																		N	N	N
A12																		N	N	N
B1	69-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	26.0048	25.6801	0.4592				false	0.01	true	3	24		N	N	N
B2	69-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	25.3554	25.6801	0.4592				false	0.01	true	3	21		N	N	N
B3	69-1.20.16	C	UNKNOWN	VIC	NFQ-MGB	28.1729	28.4217	0.3518				false	0.01	false	5	20		N	Y	N
B3	69-1.20.16	D	UNKNOWN	FAM	NFQ-MGB	30.3224	30.8537	0.7514				false	0.01	false	5	20		N	Y	N
B4	69-1.20.16	C	UNKNOWN	VIC	NFQ-MGB	28.6704	28.4217	0.3518				false	0.01	false	5	20		N	Y	N
B4	69-1.20.16	D	UNKNOWN	FAM	NFQ-MGB	31.3851	30.8537	0.7514				false	0.01	false	5	20		N	Y	N
B5	121-9.14.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.3093	25.4219	0.1593				false	0.01	true	3	23		N	N	N
B6	121-9.14.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.5345	25.4219	0.1593				false	0.01	true	3	23		N	N	N
B7	121-9.14.15	C	UNKNOWN	VIC	NFQ-MGB	26.8928	26.6525	0.3399				false	0.01	false	5	20		N	N	N
B7	121-9.14.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	5	20		N	N	N
B8	121-9.14.15	C	UNKNOWN	VIC	NFQ-MGB	26.4121	26.6525	0.3399				false	0.01	false	5	20		N	N	N
B8	121-9.14.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	5	20		N	N	N
B9	234-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	27.8869	27.9929	0.15				false	0.01	true	3	24		N	N	N
B10	234-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.099	27.9929	0.15				false	0.01	true	3	26		N	N	N
B11	234-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	28.6241	28.8176	0.2737				false	0.01	false	5	20		N	N	N
B11	234-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	32.6348	32.6983	0.0897				false	0.01	false	5	20		N	N	N
B12	234-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	29.0112	28.8176	0.2737				false	0.01	false	5	20		N	N	N
B12	234-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	32.7617	32.6983	0.0897				false	0.01	false	5	20		N	N	N
C1	238-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.3182	25.1876	0.1848				false	0.01	true	3	22		N	N	N
C2	238-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.0569	25.1876	0.1848				false	0.01	true	3	22		N	N	N
C3	238-10.1.15	C	UNKNOWN	VIC	NFQ-MGB	28.7654	28.7568	0.0122				false	0.01	false	5	20		N	N	N
