Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160223_CH_Mcap_5.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-23 14:16:56 PM HST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N,N
A2,65-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,29.02779388,28.47490311,0.781906962,,,,FALSE,0.01,TRUE,3,25,,N,Y,N
A3,65-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,27.92201042,28.47490311,0.781906962,,,,FALSE,0.01,TRUE,3,23,,N,Y,N
A4,(+)78-10.24.14,Mc,UNKNOWN,FAM,NFQ-MGB,27.86881638,27.92261505,0.07608147,,,,FALSE,0.01,TRUE,3,25,,N,N,N
A5,137-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,27.12221146,26.99703598,0.177024856,,,,FALSE,0.01,TRUE,3,24,,N,N,N
A6,137-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,26.8718605,26.99703598,0.177024856,,,,FALSE,0.01,TRUE,3,24,,N,N,N
A7,137-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,26.58904457,26.36741447,0.313432276,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A7,137-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A8,137-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,26.14578438,26.36741447,0.313432276,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A8,137-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
