* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160223_CH_Mcap_4.eds
* Experiment Run End Time = 2016-02-23 12:37:55 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	AMPNC	HIGHSD
A1																		N	N
A2	211-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	27.6189	27.5104	0.1535				false	0.01	true	3	24		N	N
A3	211-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	27.4018	27.5104	0.1535				false	0.01	true	3	22		N	N
A4	(+)78-10.24.14	Mc	UNKNOWN	FAM	NFQ-MGB	28.3747	28.0702	0.4307				false	0.01	true	3	25		N	N
A5	52-1.20.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.3702	29.408	0.0535				false	0.01	true	3	25		N	N
A6	52-1.20.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.4458	29.408	0.0535				false	0.01	true	3	25		N	N
A7	52-1.20.15	C	UNKNOWN	VIC	NFQ-MGB	28.8738	28.6907	0.2588				false	0.01	false	3	20		N	N
A7	52-1.20.15	D	UNKNOWN	FAM	NFQ-MGB	30.7353	30.5942	0.1994				false	0.01	false	3	20		N	N
A8	52-1.20.15	C	UNKNOWN	VIC	NFQ-MGB	28.5077	28.6907	0.2588				false	0.01	false	3	20		N	N
A8	52-1.20.15	D	UNKNOWN	FAM	NFQ-MGB	30.4532	30.5942	0.1994				false	0.01	false	3	20		N	N
A9	(+)78-10.24.14	C	UNKNOWN	VIC	NFQ-MGB	31.1446	31.015	0.1832				false	0.01	false	3	20		N	N
A9	(+)78-10.24.14	D	UNKNOWN	FAM	NFQ-MGB	30.3453	30.3785	0.0469				false	0.01	false	3	20		N	N
A10	(+)78-10.24.14	C	UNKNOWN	VIC	NFQ-MGB	30.8855	31.015	0.1832				false	0.01	false	3	20		N	N
A10	(+)78-10.24.14	D	UNKNOWN	FAM	NFQ-MGB	30.4117	30.3785	0.0469				false	0.01	false	3	20		N	N
A11																		N	N
A12																		N	N
B1	52-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.8141	26.6142	0.2828				false	0.01	true	3	23		N	N
B2	52-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.4142	26.6142	0.2828				false	0.01	true	3	21		N	N
B3	52-8.11.15	C	UNKNOWN	VIC	NFQ-MGB	28.4328	28.6405	0.2937				false	0.01	false	3	20		N	N
B3	52-8.11.15	D	UNKNOWN	FAM	NFQ-MGB	29.5402	29.8523	0.4414				false	0.01	false	3	20		N	N
B4	52-8.11.15	C	UNKNOWN	VIC	NFQ-MGB	28.8481	28.6405	0.2937				false	0.01	false	3	20		N	N
B4	52-8.11.15	D	UNKNOWN	FAM	NFQ-MGB	30.1644	29.8523	0.4414				false	0.01	false	3	20		N	N
B5	40-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	24.3043	24.1311	0.245				false	0.01	true	3	19		N	N
B6	40-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	23.9579	24.1311	0.245				false	0.01	true	3	20		N	N
B7	40-8.11.15	C	UNKNOWN	VIC	NFQ-MGB	26.4308	26.5544	0.1748				false	0.01	false	3	20		N	N
B7	40-8.11.15	D	UNKNOWN	FAM	NFQ-MGB	29.8191	29.8783	0.0837				false	0.01	false	3	20		N	N
B8	40-8.11.15	C	UNKNOWN	VIC	NFQ-MGB	26.678	26.5544	0.1748				false	0.01	false	3	20		N	N
B8	40-8.11.15	D	UNKNOWN	FAM	NFQ-MGB	29.9374	29.8783	0.0837				false	0.01	false	3	20		N	N
B9	65-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.702	26.6412	0.086				false	0.01	true	3	23		N	N
B10	65-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.5804	26.6412	0.086				false	0.01	true	3	23		N	N
