* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160229_CH_Mcap_10.eds
* Experiment Run End Time = 2016-02-29 12:39:19 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	AMPNC	HIGHSD
A1																		N	N
A2	8-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.6315	25.2448	0.5469				false	0.01	true	3	19		N	Y
A3	8-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	24.8581	25.2448	0.5469				false	0.01	true	3	19		N	Y
A4	(+)208-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.2528	26.379	0.1784				false	0.01	true	3	23		N	N
A5	8-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	28.977	28.9638	0.0186				false	0.01	true	3	25		N	N
A6	8-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	28.9506	28.9638	0.0186				false	0.01	true	3	25		N	N
A7	8-1.20.16	C	UNKNOWN	VIC	NFQ-MGB	33.1466	33.1472	0.0008				false	0.01	false	3	20		N	N
A7	8-1.20.16	D	UNKNOWN	FAM	NFQ-MGB	28.9862	28.851	0.1912				false	0.01	false	3	20		N	N
A8	8-1.20.16	C	UNKNOWN	VIC	NFQ-MGB	33.1478	33.1472	0.0008				false	0.01	false	3	20		N	N
A8	8-1.20.16	D	UNKNOWN	FAM	NFQ-MGB	28.7158	28.851	0.1912				false	0.01	false	3	20		N	N
A9	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
A9	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
A10	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
A10	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
