* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160225_CH_Mcap_8.eds
* Experiment Run End Time = 2016-02-25 12:56:02 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	AMPNC	HIGHSD
A1																		N	N
A2	32-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	33.4735	33.2286	0.3463				false	0.01	true	3	29		N	N
A3	32-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	32.9837	33.2286	0.3463				false	0.01	true	3	29		N	N
A4	(+)78-10.24.14	C	UNKNOWN	VIC	NFQ-MGB	30.9078	31.0522	0.2042				false	0.01	false	3	20		N	N
A4	(+)78-10.24.14	D	UNKNOWN	FAM	NFQ-MGB	30.7978	30.9206	0.1737				false	0.01	false	3	20		N	N
A5	65-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	33.1815	33.2955	0.1612				false	0.01	true	3	28		N	N
A6	65-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	33.4094	33.2955	0.1612				false	0.01	true	3	29		N	N
A7	65-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	28.013	28.2915	0.3939				false	0.01	false	3	20		N	N
A7	65-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
A8	65-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	28.57	28.2915	0.3939				false	0.01	false	3	20		N	N
A8	65-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N
A9	NTC	Mc	NTC	FAM	NFQ-MGB	11.6566						false	0.01	true	3	39		Y	N
A10	NTC	Mc	NTC	FAM	NFQ-MGB	10.171						false	0.01	true	3	39		Y	N
A11	(+)78-10.24.14	Mc	UNKNOWN	FAM	NFQ-MGB	28.7917	28.6516	0.1982				false	0.01	true	3	23		N	N
A12																		N	N
B1	126-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	33.5846	33.3702	0.3033				false	0.01	true	3	29		N	N
B2	126-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	33.1557	33.3702	0.3033				false	0.01	true	3	29		N	N
