* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160302_CH_Mcap_15.eds
* Experiment Run End Time = 2016-03-02 12:38:33 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	AMPNC	HIGHSD	NOAMP
A1																		N	N	N
A2	119-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	28.295	19.4688	12.4822				false	0.01	true	3	22		N	Y	N
A3	119-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	10.6425	19.4688	12.4822				false	0.01	true	3	6		N	Y	N
A4	(+)208-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	24.3368	24.0304	0.4334				false	0.01	true	3	21		N	N	N
A5	223-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined	11.4477					false	0.01	true	1	2		N	N	N
A6	223-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	11.4477	11.4477					false	0.01	true	3	6		N	N	N
A7	223-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	27.9134	28.0692	0.2204				false	0.01	false	3	20		N	N	N
A7	223-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	32.3804	32.2432	0.1941				false	0.0332	false	3	20		N	N	N
A8	223-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	28.2251	28.0692	0.2204				false	0.01	false	3	20		N	N	N
A8	223-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	32.1059	32.2432	0.1941				false	0.0332	false	3	20		N	N	N
A9	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
A9	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.0332	false	3	20		N	N	N
A10	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N
A10	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.0332	false	3	20		N	N	N
A11	(+)208-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	28.8665	27.5806	1.8185				false	0.01	false	3	20		N	Y	N
A11	(+)208-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	27.7676	27.2142	0.7826				false	0.0332	false	3	20		N	Y	N
A12																		N	N	N
B1	66-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	28.6643	20.3815	11.7136				false	0.01	true	3	25		N	Y	N
B2	66-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	12.0987	20.3815	11.7136				false	0.01	true	3	8		N	Y	N
B3	66-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	28.8854	29.0039	0.1675				false	0.01	false	3	20		N	N	N
B3	66-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.0332	false	3	20		N	N	N
B4	66-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	29.1223	29.0039	0.1675				false	0.01	false	3	20		N	N	N
B4	66-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.0332	false	3	20		N	N	N
B5	223-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	31.7723	31.6416	0.1849				false	0.01	true	3	28		N	N	N
B6	223-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	31.5109	31.6416	0.1849				false	0.01	true	3	28		N	N	N
B7	223-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	31.9702	32.054	0.1185				false	0.01	false	3	20		N	N	N
B7	223-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	28.484	28.5841	0.1415				false	0.0332	false	3	20		N	N	N
B8	223-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	32.1377	32.054	0.1185				false	0.01	false	3	20		N	N	N
B8	223-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	28.6842	28.5841	0.1415				false	0.0332	false	3	20		N	N	N
B9	51-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.437	25.7329	0.4185				false	0.01	true	3	19		N	N	N
B10	51-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.0289	25.7329	0.4185				false	0.01	true	3	22		N	N	N
B11	51-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	28.9925	29.7398	1.0568				false	0.01	false	3	20		N	Y	N
B11	51-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.0332	false	3	20		N	Y	N
B12	51-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	30.4871	29.7398	1.0568				false	0.01	false	3	20		N	Y	N
