Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160226_CH_Mcap_11.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-26 13:49:40 PM HST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,EXPFAIL
A1,,,,,,,,,,,,,,,,,,N,N,N
A2,66-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.9352169,29.15020752,0.304044008,,,,FALSE,0.01,TRUE,3,25,,N,N,N
A3,66-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,29.36520004,29.15020752,0.304044008,,,,FALSE,0.01,TRUE,3,25,,N,N,N
A4,(+)78-10.24.14,Mc,UNKNOWN,FAM,NFQ-MGB,27.6798954,27.66107559,0.026616577,,,,FALSE,0.01,TRUE,3,24,,N,N,N
A5,130-11.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,30.59790802,30.56352615,0.048623301,,,,FALSE,0.01,TRUE,3,27,,N,N,N
A6,130-11.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,30.52914429,30.56352615,0.048623301,,,,FALSE,0.01,TRUE,3,27,,N,N,N
A7,130-11.4.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
A7,130-11.4.15,D,UNKNOWN,FAM,NFQ-MGB,27.74222565,26.64692307,1.548991799,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
A8,130-11.4.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
A8,130-11.4.15,D,UNKNOWN,FAM,NFQ-MGB,25.55162048,26.64692307,1.548991799,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
A9,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A9,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A10,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A10,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A11,(+)78-10.24.14,C,UNKNOWN,VIC,NFQ-MGB,30.61334229,30.65603638,0.060377214,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A11,(+)78-10.24.14,D,UNKNOWN,FAM,NFQ-MGB,29.489151,29.38607407,0.145774141,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A12,,,,,,,,,,,,,,,,,,N,N,N
B1,66-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,29.89467239,29.6965847,0.280138314,,,,FALSE,0.01,TRUE,3,25,,N,N,N
B2,66-12.17.15,Mc,UNKNOWN,FAM,NFQ-MGB,29.49849701,29.6965847,0.280138314,,,,FALSE,0.01,TRUE,3,25,,N,N,N
B3,66-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,26.597332,26.42933655,0.237580106,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B3,66-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B4,66-12.17.15,C,UNKNOWN,VIC,NFQ-MGB,26.261343,26.42933655,0.237580106,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B4,66-12.17.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B5,130-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.09784508,27.9402523,0.222869843,,,,FALSE,0.01,TRUE,3,23,,N,N,N
B6,130-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.78265953,27.9402523,0.222869843,,,,FALSE,0.01,TRUE,3,24,,N,N,N
B7,130-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
B7,130-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,22.07060051,24.16306877,2.959197044,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
