* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160224_CH_Mcap_6.eds
* Experiment Run End Time = 2016-02-24 12:43:42 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP
A1																		N	N
A2	131-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	26.7304	27.2089	0.6768				false	0.05	false	16	22		Y	N
A3	131-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	27.6875	27.2089	0.6768				false	0.05	false	16	22		Y	N
A4	(+)78-10.24.14	Mc	UNKNOWN	FAM	NFQ-MGB	28.2516	28.5952	0.486				false	0.05	false	16	22		N	N
A5	112-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	26.9255	27.1971	0.3842				false	0.05	false	16	22		N	N
A6	112-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	27.4687	27.1971	0.3842				false	0.05	false	16	22		N	N
A7	112-1.20.16	C	UNKNOWN	VIC	NFQ-MGB	33.758	33.8414	0.118				false	0.05	false	16	22		N	N
A7	112-1.20.16	D	UNKNOWN	FAM	NFQ-MGB	29.4227	29.4811	0.0825				false	0.05	false	16	22		N	N
A8	112-1.20.16	C	UNKNOWN	VIC	NFQ-MGB	33.9248	33.8414	0.118				false	0.05	false	16	22		N	N
A8	112-1.20.16	D	UNKNOWN	FAM	NFQ-MGB	29.5394	29.4811	0.0825				false	0.05	false	16	22		N	N
A9	(+)78-10.24.14	C	UNKNOWN	VIC	NFQ-MGB	32.8146	32.6241	0.2694				false	0.05	false	16	22		N	N
A9	(+)78-10.24.14	D	UNKNOWN	FAM	NFQ-MGB	30.7971	30.8411	0.0623				false	0.05	false	16	22		N	N
A10	(+)78-10.24.14	C	UNKNOWN	VIC	NFQ-MGB	32.4336	32.6241	0.2694				false	0.05	false	16	22		N	N
A10	(+)78-10.24.14	D	UNKNOWN	FAM	NFQ-MGB	30.8852	30.8411	0.0623				false	0.05	false	16	22		N	N
A11																		N	N
A12																		N	N
B1	112-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	27.195	26.932	0.3719				false	0.05	false	16	22		N	N
B2	112-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.669	26.932	0.3719				false	0.05	false	16	22		N	N
B3	112-8.11.15	C	UNKNOWN	VIC	NFQ-MGB	32.3208	32.1687	0.2152				false	0.05	false	16	22		N	N
B3	112-8.11.15	D	UNKNOWN	FAM	NFQ-MGB	28.3496	28.392	0.06				false	0.05	false	16	22		N	N
B4	112-8.11.15	C	UNKNOWN	VIC	NFQ-MGB	32.0165	32.1687	0.2152				false	0.05	false	16	22		N	N
B4	112-8.11.15	D	UNKNOWN	FAM	NFQ-MGB	28.4345	28.392	0.06				false	0.05	false	16	22		N	N
B5	223-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.6063	26.5986	0.0109				false	0.05	false	16	22		N	N
B6	223-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.5908	26.5986	0.0109				false	0.05	false	16	22		N	N
B7	223-10.1.15	C	UNKNOWN	VIC	NFQ-MGB	34.7816	34.8139	0.0458				false	0.05	false	16	22		N	N
B7	223-10.1.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N	N
B8	223-10.1.15	C	UNKNOWN	VIC	NFQ-MGB	34.8463	34.8139	0.0458				false	0.05	false	16	22		N	N
B8	223-10.1.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N	N
B9	215-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	31.154	30.9684	0.2624				false	0.05	false	16	22		N	N
B10	215-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	30.7828	30.9684	0.2624				false	0.05	false	16	22		N	N
B11	215-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	35.6259	35.8091	0.2591				false	0.05	false	16	22		N	N
B11	215-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N	N
B12	215-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	35.9924	35.8091	0.2591				false	0.05	false	16	22		N	N
B12	215-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N	N
C1	112-9.14.15	Mc	UNKNOWN	FAM	NFQ-MGB	30.014	29.4748	0.7625				false	0.05	false	16	22		Y	N
C2	112-9.14.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.9357	29.4748	0.7625				false	0.05	false	16	22		Y	N
C3	112-9.14.15	C	UNKNOWN	VIC	NFQ-MGB	39.2756	39.2756					false	0.05	false	16	22		N	N
C3	112-9.14.15	D	UNKNOWN	FAM	NFQ-MGB	30.0301	29.9199	0.1558				false	0.05	false	16	22		N	N
C4	112-9.14.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	39.2756					false	0.05	false	16	22		N	N
C4	112-9.14.15	D	UNKNOWN	FAM	NFQ-MGB	29.8097	29.9199	0.1558				false	0.05	false	16	22		N	N
C5	223-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.762	26.6483	0.1609				false	0.05	false	16	22		N	N
C6	223-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.5345	26.6483	0.1609				false	0.05	false	16	22		N	N
C7	223-10.21.15	C	UNKNOWN	VIC	NFQ-MGB	35.0758	34.4316	0.911				false	0.05	false	16	22		Y	N
C7	223-10.21.15	D	UNKNOWN	FAM	NFQ-MGB	34.3298	34.3137	0.0227				false	0.05	false	16	22		Y	N
C8	223-10.21.15	C	UNKNOWN	VIC	NFQ-MGB	33.7874	34.4316	0.911				false	0.05	false	16	22		Y	N
C8	223-10.21.15	D	UNKNOWN	FAM	NFQ-MGB	34.2977	34.3137	0.0227				false	0.05	false	16	22		Y	N
C9	215-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.1899	25.8453	0.4873				false	0.05	false	16	22		N	N
C10	215-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.5007	25.8453	0.4873				false	0.05	false	16	22		N	N
C11	215-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	31.5204	31.4557	0.0916				false	0.05	false	16	22		N	N
C11	215-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	38.5704					false	0.05	false	16	22		N	N
C12	215-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	31.3909	31.4557	0.0916				false	0.05	false	16	22		N	N
C12	215-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	38.5704	38.5704					false	0.05	false	16	22		N	N
D1	112-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	27.8351	27.6903	0.2048				false	0.05	false	16	22		N	N
D2	112-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	27.5455	27.6903	0.2048				false	0.05	false	16	22		N	N
D3	112-10.1.15	C	UNKNOWN	VIC	NFQ-MGB	33.2254	33.5062	0.3971				false	0.05	false	16	22		N	N
D3	112-10.1.15	D	UNKNOWN	FAM	NFQ-MGB	30.165	30.057	0.1528				false	0.05	false	16	22		N	N
