* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160225_CH_Mcap_9.eds
* Experiment Run End Time = 2016-02-25 14:34:42 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD
A1																		N
A2	122-9.14.15	Mc	UNKNOWN	FAM	NFQ-MGB	27.5991	27.6083	0.013				false	0.05	false	16	22		N
A3	122-9.14.15	Mc	UNKNOWN	FAM	NFQ-MGB	27.6175	27.6083	0.013				false	0.05	false	16	22		N
A4	(+)78-10.24.14	Mc	UNKNOWN	FAM	NFQ-MGB	27.6856	27.7817	0.136				false	0.05	false	16	22		N
A5	19-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	24.9622	24.9183	0.0621				false	0.05	false	16	22		N
A6	19-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	24.8744	24.9183	0.0621				false	0.05	false	16	22		N
A7	19-8.11.15	C	UNKNOWN	VIC	NFQ-MGB	27.0661	27.043	0.0327				false	0.05	false	16	22		N
A7	19-8.11.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
A8	19-8.11.15	C	UNKNOWN	VIC	NFQ-MGB	27.0198	27.043	0.0327				false	0.05	false	16	22		N
A8	19-8.11.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
A9	(+)78-10.24.14	C	UNKNOWN	VIC	NFQ-MGB	32.0729	31.8751	0.2798				false	0.05	false	16	22		N
A9	(+)78-10.24.14	D	UNKNOWN	FAM	NFQ-MGB	30.3114	30.4371	0.1778				false	0.05	false	16	22		N
A10	(+)78-10.24.14	C	UNKNOWN	VIC	NFQ-MGB	31.6773	31.8751	0.2798				false	0.05	false	16	22		N
A10	(+)78-10.24.14	D	UNKNOWN	FAM	NFQ-MGB	30.5629	30.4371	0.1778				false	0.05	false	16	22		N
A11	NTC	Mc	NTC	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
A12																		N
B1	122-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.985	26.8977	0.1235				false	0.05	false	16	22		N
B2	122-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.8104	26.8977	0.1235				false	0.05	false	16	22		N
B3	122-10.1.15	C	UNKNOWN	VIC	NFQ-MGB	30.1369	30.0405	0.1363				false	0.05	false	16	22		N
B3	122-10.1.15	D	UNKNOWN	FAM	NFQ-MGB	36.8972	36.8972					false	0.05	false	16	22		N
B4	122-10.1.15	C	UNKNOWN	VIC	NFQ-MGB	29.9441	30.0405	0.1363				false	0.05	false	16	22		N
B4	122-10.1.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	36.8972					false	0.05	false	16	22		N
B5	19-9.14.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.4937	25.3107	0.2589				false	0.05	false	16	22		N
B6	19-9.14.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.1277	25.3107	0.2589				false	0.05	false	16	22		N
B7	19-9.14.15	C	UNKNOWN	VIC	NFQ-MGB	31.0574	31.1538	0.1364				false	0.05	false	16	22		N
B7	19-9.14.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
