* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160408_CH_Mcap_36.eds
* Experiment Run End Time = 2016-04-08 16:16:23 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP
A1																		N	N
A2	138-3.31.16	Mc	UNKNOWN	FAM	NFQ-MGB	29.9903	29.8929	0.1378				true	0.05	true	16	22		N	N
A3	138-3.31.16	Mc	UNKNOWN	FAM	NFQ-MGB	29.7955	29.8929	0.1378				true	0.05	true	16	22		N	N
A4	NTC	Mc	NTC	FAM	NFQ-MGB	Undetermined						true	0.05	true	16	22		N	N
A5	211-3.31.16	Mc	UNKNOWN	FAM	NFQ-MGB	29.957	29.7808	0.2491				true	0.05	true	16	22		N	N
A6	211-3.31.16	Mc	UNKNOWN	FAM	NFQ-MGB	29.6046	29.7808	0.2491				true	0.05	true	16	22		N	N
A7	211-3.31.16	C	UNKNOWN	VIC	NFQ-MGB	32.5804	32.7177	0.1941				false	0.05	false	16	22		N	N
A7	211-3.31.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.05	true	16	22		N	N
A8	211-3.31.16	C	UNKNOWN	VIC	NFQ-MGB	32.8549	32.7177	0.1941				false	0.05	false	16	22		N	N
A8	211-3.31.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.05	true	16	22		N	N
A9	233-3.31.16	C	UNKNOWN	VIC	NFQ-MGB	31.4777	32.2756	1.1284				false	0.05	false	16	22		Y	N
A9	233-3.31.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.05	true	16	22		Y	N
A10	233-3.31.16	C	UNKNOWN	VIC	NFQ-MGB	33.0735	32.2756	1.1284				false	0.05	false	16	22		Y	N
A10	233-3.31.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.05	true	16	22		Y	N
A11	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22		N	N
A11	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						true	0.05	true	16	22		N	N
A12																		N	N
B1	201-3.31.16	Mc	UNKNOWN	FAM	NFQ-MGB	29.6347	29.3071	0.4633				true	0.05	true	16	22		N	N
B2	201-3.31.16	Mc	UNKNOWN	FAM	NFQ-MGB	28.9795	29.3071	0.4633				true	0.05	true	16	22		N	N
B3	201-3.31.16	C	UNKNOWN	VIC	NFQ-MGB	33.3203	33.5391	0.3096				false	0.05	false	16	22		N	N
B3	201-3.31.16	D	UNKNOWN	FAM	NFQ-MGB	29.4774	29.3525	0.1766				true	0.05	true	16	22		N	N
B4	201-3.31.16	C	UNKNOWN	VIC	NFQ-MGB	33.758	33.5391	0.3096				false	0.05	false	16	22		N	N
B4	201-3.31.16	D	UNKNOWN	FAM	NFQ-MGB	29.2276	29.3525	0.1766				true	0.05	true	16	22		N	N
B5	212-3.31.16	Mc	UNKNOWN	FAM	NFQ-MGB	29.6052	29.3412	0.3734				true	0.05	true	16	22		N	N
B6	212-3.31.16	Mc	UNKNOWN	FAM	NFQ-MGB	29.0772	29.3412	0.3734				true	0.05	true	16	22		N	N
B7	212-3.31.16	C	UNKNOWN	VIC	NFQ-MGB	31.9985	31.7152	0.4007				false	0.05	false	16	22		N	N
B7	212-3.31.16	D	UNKNOWN	FAM	NFQ-MGB	30.8145	30.8131	0.0021				true	0.05	true	16	22		N	N
B8	212-3.31.16	C	UNKNOWN	VIC	NFQ-MGB	31.4318	31.7152	0.4007				false	0.05	false	16	22		N	N
B8	212-3.31.16	D	UNKNOWN	FAM	NFQ-MGB	30.8116	30.8131	0.0021				true	0.05	true	16	22		N	N
B9	234-3.31.16	Mc	UNKNOWN	FAM	NFQ-MGB	27.6586	27.3056	0.4992				true	0.05	true	16	22		N	N
B10	234-3.31.16	Mc	UNKNOWN	FAM	NFQ-MGB	26.9526	27.3056	0.4992				true	0.05	true	16	22		N	N
B11	234-3.31.16	C	UNKNOWN	VIC	NFQ-MGB	30.7163	30.8072	0.1286				false	0.05	false	16	22		N	N
B11	234-3.31.16	D	UNKNOWN	FAM	NFQ-MGB	32.8561	32.7874	0.0972				true	0.05	true	16	22		N	N
B12	234-3.31.16	C	UNKNOWN	VIC	NFQ-MGB	30.8981	30.8072	0.1286				false	0.05	false	16	22		N	N
B12	234-3.31.16	D	UNKNOWN	FAM	NFQ-MGB	32.7187	32.7874	0.0972				true	0.05	true	16	22		N	N
C1	202-3.31.16	Mc	UNKNOWN	FAM	NFQ-MGB	30.328	29.5763	1.063				true	0.05	true	16	22		Y	N
C2	202-3.31.16	Mc	UNKNOWN	FAM	NFQ-MGB	28.8246	29.5763	1.063				true	0.05	true	16	22		Y	N
C3	202-3.31.16	C	UNKNOWN	VIC	NFQ-MGB	33.8093	33.5736	0.3332				false	0.05	false	16	22		N	N
C3	202-3.31.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.05	true	16	22		N	N
C4	202-3.31.16	C	UNKNOWN	VIC	NFQ-MGB	33.338	33.5736	0.3332				false	0.05	false	16	22		N	N
C4	202-3.31.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.05	true	16	22		N	N
C5	215-3.31.16	Mc	UNKNOWN	FAM	NFQ-MGB	26.6123	26.6114	0.0012				true	0.05	true	16	22		N	N
C6	215-3.31.16	Mc	UNKNOWN	FAM	NFQ-MGB	26.6105	26.6114	0.0012				true	0.05	true	16	22		N	N
C7	215-3.31.16	C	UNKNOWN	VIC	NFQ-MGB	29.3619	29.2968	0.092				false	0.05	false	16	22		N	N
C7	215-3.31.16	D	UNKNOWN	FAM	NFQ-MGB	29.5782	29.5043	0.1045				true	0.05	true	16	22		N	N
C8	215-3.31.16	C	UNKNOWN	VIC	NFQ-MGB	29.2318	29.2968	0.092				false	0.05	false	16	22		N	N
C8	215-3.31.16	D	UNKNOWN	FAM	NFQ-MGB	29.4304	29.5043	0.1045				true	0.05	true	16	22		N	N
C9	237-3.31.16	Mc	UNKNOWN	FAM	NFQ-MGB	27.9032	27.8974	0.0082				true	0.05	true	16	22		N	N
C10	237-3.31.16	Mc	UNKNOWN	FAM	NFQ-MGB	27.8916	27.8974	0.0082				true	0.05	true	16	22		N	N
C11	237-3.31.16	C	UNKNOWN	VIC	NFQ-MGB	28.462	28.5926	0.1846				false	0.05	false	16	22		N	N
C11	237-3.31.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.05	true	16	22		N	N
C12	237-3.31.16	C	UNKNOWN	VIC	NFQ-MGB	28.7231	28.5926	0.1846				false	0.05	false	16	22		N	N
C12	237-3.31.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.05	true	16	22		N	N
D1	205-3.31.16	Mc	UNKNOWN	FAM	NFQ-MGB	28.5493	28.3491	0.2831				true	0.05	true	16	22		N	N
D2	205-3.31.16	Mc	UNKNOWN	FAM	NFQ-MGB	28.149	28.3491	0.2831				true	0.05	true	16	22		N	N
D3	205-3.31.16	C	UNKNOWN	VIC	NFQ-MGB	30.7673	30.9256	0.2239				false	0.05	false	16	22		N	N
D3	205-3.31.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.05	true	16	22		N	N
D4	205-3.31.16	C	UNKNOWN	VIC	NFQ-MGB	31.0839	30.9256	0.2239				false	0.05	false	16	22		N	N
D4	205-3.31.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.05	true	16	22		N	N
D5	216-3.31.16	Mc	UNKNOWN	FAM	NFQ-MGB	26.0162	25.944	0.102				true	0.05	true	16	22		N	N
D6	216-3.31.16	Mc	UNKNOWN	FAM	NFQ-MGB	25.8719	25.944	0.102				true	0.05	true	16	22		N	N
D7	216-3.31.16	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22		N	N
