* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160222_CH_Mcap_3.eds
* Experiment Run End Time = 2016-02-22 14:54:21 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD
A1																		N
A2	211-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.639	29.4198	1.1043				false	0.05	true	16	22		Y
A3	211-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	30.2007	29.4198	1.1043				false	0.05	true	16	22		Y
A4	(+)78-10.24.14	Mc	UNKNOWN	FAM	NFQ-MGB	27.7321	27.7282	0.0056				false	0.05	true	16	22		N
A5	121-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.5268	28.715	0.2661				false	0.05	true	16	22		N
A6	121-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.9032	28.715	0.2661				false	0.05	true	16	22		N
A7	121-8.11.15	C	UNKNOWN	VIC	NFQ-MGB	30.2927	30.2391	0.0758				false	0.05	false	16	22		N
A7	121-8.11.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
A8	121-8.11.15	C	UNKNOWN	VIC	NFQ-MGB	30.1855	30.2391	0.0758				false	0.05	false	16	22		N
A8	121-8.11.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
A9	(+)78-10.24.14	C	UNKNOWN	VIC	NFQ-MGB	31.9612	31.9574	0.0053				false	0.05	false	16	22		N
A9	(+)78-10.24.14	D	UNKNOWN	FAM	NFQ-MGB	30.52	30.5367	0.0236				false	0.05	false	16	22		N
A10	(+)78-10.24.14	C	UNKNOWN	VIC	NFQ-MGB	31.9536	31.9574	0.0053				false	0.05	false	16	22		N
A10	(+)78-10.24.14	D	UNKNOWN	FAM	NFQ-MGB	30.5534	30.5367	0.0236				false	0.05	false	16	22		N
A11																		N
A12																		N
B1	69-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	26.2691	25.8717	0.562				false	0.05	true	16	22		Y
B2	69-1.20.16	Mc	UNKNOWN	FAM	NFQ-MGB	25.4742	25.8717	0.562				false	0.05	true	16	22		Y
B3	69-1.20.16	C	UNKNOWN	VIC	NFQ-MGB	29.695	29.8373	0.2012				false	0.05	false	16	22		N
B3	69-1.20.16	D	UNKNOWN	FAM	NFQ-MGB	30.8208	31.0998	0.3945				false	0.05	false	16	22		N
B4	69-1.20.16	C	UNKNOWN	VIC	NFQ-MGB	29.9795	29.8373	0.2012				false	0.05	false	16	22		N
B4	69-1.20.16	D	UNKNOWN	FAM	NFQ-MGB	31.3787	31.0998	0.3945				false	0.05	false	16	22		N
B5	121-9.14.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.8369	25.8982	0.0868				false	0.05	true	16	22		N
B6	121-9.14.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.9596	25.8982	0.0868				false	0.05	true	16	22		N
B7	121-9.14.15	C	UNKNOWN	VIC	NFQ-MGB	28.0101	28.0442	0.0483				false	0.05	false	16	22		N
B7	121-9.14.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
B8	121-9.14.15	C	UNKNOWN	VIC	NFQ-MGB	28.0783	28.0442	0.0483				false	0.05	false	16	22		N
B8	121-9.14.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
B9	234-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.2925	28.3957	0.1459				false	0.05	true	16	22		N
B10	234-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.4989	28.3957	0.1459				false	0.05	true	16	22		N
B11	234-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	29.9882	30.1144	0.1786				false	0.05	false	16	22		N
B11	234-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	32.5426	32.4938	0.069				false	0.05	false	16	22		N
B12	234-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	30.2407	30.1144	0.1786				false	0.05	false	16	22		N
B12	234-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	32.445	32.4938	0.069				false	0.05	false	16	22		N
C1	238-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.8196	25.6647	0.2191				false	0.05	true	16	22		N
C2	238-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.5098	25.6647	0.2191				false	0.05	true	16	22		N
C3	238-10.1.15	C	UNKNOWN	VIC	NFQ-MGB	29.9564	29.9472	0.013				false	0.05	false	16	22		N
C3	238-10.1.15	D	UNKNOWN	FAM	NFQ-MGB	29.8649	29.6806	0.2606				false	0.05	false	16	22		N
C4	238-10.1.15	C	UNKNOWN	VIC	NFQ-MGB	29.938	29.9472	0.013				false	0.05	false	16	22		N
C4	238-10.1.15	D	UNKNOWN	FAM	NFQ-MGB	29.4964	29.6806	0.2606				false	0.05	false	16	22		N
C5	121-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.7594	26.7478	0.0164				false	0.05	true	16	22		N
C6	121-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.7362	26.7478	0.0164				false	0.05	true	16	22		N
C7	121-10.1.15	C	UNKNOWN	VIC	NFQ-MGB	29.2229	29.33	0.1515				false	0.05	false	16	22		N
C7	121-10.1.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
C8	121-10.1.15	C	UNKNOWN	VIC	NFQ-MGB	29.4372	29.33	0.1515				false	0.05	false	16	22		N
C8	121-10.1.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
C9	234-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	true	16	22		N
C10	234-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	true	16	22		N
C11	234-10.21.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
C11	234-10.21.15	D	UNKNOWN	FAM	NFQ-MGB	30.3816	30.5683	0.2641				false	0.05	false	16	22		N
C12	234-10.21.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
