* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160310_CH_Mcap_21.eds
* Experiment Run End Time = 2016-03-10 12:40:21 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD
A1																		N
A2	71-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.3001	26.2948	0.0075				true	0.05	true	16	22		N
A3	71-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.2895	26.2948	0.0075				true	0.05	true	16	22		N
A4	(+)208-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.4587	25.5736	0.1625				true	0.05	true	16	22		N
A5	71-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	28.0013	27.8799	0.1717				true	0.05	true	16	22		N
A6	71-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	27.7584	27.8799	0.1717				true	0.05	true	16	22		N
A7	71-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	34.1643	34.5227	0.5069				false	0.05	false	16	22		Y
A7	71-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	28.3248	28.305	0.0281				true	0.05	true	16	22		Y
A8	71-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	34.8812	34.5227	0.5069				false	0.05	false	16	22		Y
A8	71-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	28.2851	28.305	0.0281				true	0.05	true	16	22		Y
A9	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
A9	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						true	0.05	true	16	22		N
A10	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
A10	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						true	0.05	true	16	22		N
A11	(+)208-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	31.1065	31.21	0.1464				false	0.05	false	16	22		Y
