* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160225_CH_Mcap_8.eds
* Experiment Run End Time = 2016-02-25 12:56:02 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD
A1																		N
A2	32-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	33.5029	33.2104	0.4137				false	0.05	true	16	22		N
A3	32-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	32.9178	33.2104	0.4137				false	0.05	true	16	22		N
A4	(+)78-10.24.14	C	UNKNOWN	VIC	NFQ-MGB	31.9687	32.137	0.2381				false	0.05	false	16	22		N
A4	(+)78-10.24.14	D	UNKNOWN	FAM	NFQ-MGB	30.6166	30.6982	0.1155				false	0.05	false	16	22		N
A5	65-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	32.9871	33.1634	0.2493				false	0.05	true	16	22		N
A6	65-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	33.3397	33.1634	0.2493				false	0.05	true	16	22		N
A7	65-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	29.2276	29.5405	0.4425				false	0.05	false	16	22		N
A7	65-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
A8	65-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	29.8534	29.5405	0.4425				false	0.05	false	16	22		N
A8	65-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
A9	NTC	Mc	NTC	FAM	NFQ-MGB	Undetermined						false	0.05	true	16	22		N
A10	NTC	Mc	NTC	FAM	NFQ-MGB	Undetermined						false	0.05	true	16	22		N
A11	(+)78-10.24.14	Mc	UNKNOWN	FAM	NFQ-MGB	28.0546	28.3918	0.4768				false	0.05	true	16	22		N
A12																		N
B1	126-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	33.4033	33.321	0.1163				false	0.05	true	16	22		N
B2	126-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	33.2388	33.321	0.1163				false	0.05	true	16	22		N
B3	126-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
B3	126-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	30.3156	29.9721	0.4857				false	0.05	false	16	22		N
B4	126-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
B4	126-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	29.6287	29.9721	0.4857				false	0.05	false	16	22		N
B5	131-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	33.5037	33.6054	0.1439				false	0.05	true	16	22		N
B6	131-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	33.7072	33.6054	0.1439				false	0.05	true	16	22		N
B7	131-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	29.9007	29.8338	0.0946				false	0.05	false	16	22		N
B7	131-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
B8	131-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	29.7669	29.8338	0.0946				false	0.05	false	16	22		N
B8	131-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
B9	138-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.6681	26.2779	0.5518				false	0.05	true	16	22		Y
