* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160309_CH_Mcap_20.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD
A1																		N
A2	78-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.05	true	16	22		N
A3	78-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.05	true	16	22		N
A4	(+)208-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.5519	25.6593	0.1519				true	0.05	true	16	22		N
A5	83-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.4467	26.3538	0.1313				true	0.05	true	16	22		N
A6	83-10.1.15	Mc	UNKNOWN	FAM	NFQ-MGB	26.261	26.3538	0.1313				true	0.05	true	16	22		N
A7	83-10.1.15	C	UNKNOWN	VIC	NFQ-MGB	35.2805	35.2703	0.0143				false	0.05	false	16	22		N
A7	83-10.1.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.05	true	16	22		N
A8	83-10.1.15	C	UNKNOWN	VIC	NFQ-MGB	35.2602	35.2703	0.0143				false	0.05	false	16	22		N
A8	83-10.1.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.05	true	16	22		N
A9	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
A9	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						true	0.05	true	16	22		N
A10	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
A10	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						true	0.05	true	16	22		N
A11	(+)208-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	31.3934	31.41	0.0234				false	0.05	false	16	22		N
A11	(+)208-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	28.4899	28.5823	0.1307				true	0.05	true	16	22		N
A12																		N
B1	78-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	30.6071	30.3889	0.3086				true	0.05	true	16	22		N
B2	78-11.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	30.1707	30.3889	0.3086				true	0.05	true	16	22		N
B3	78-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	37.442	37.6181	0.249				false	0.05	false	16	22		N
B3	78-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	29.7763	29.7036	0.1028				true	0.05	true	16	22		N
B4	78-11.4.15	C	UNKNOWN	VIC	NFQ-MGB	37.7941	37.6181	0.249				false	0.05	false	16	22		N
B4	78-11.4.15	D	UNKNOWN	FAM	NFQ-MGB	29.6309	29.7036	0.1028				true	0.05	true	16	22		N
B5	83-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.3907	28.2304	0.2266				true	0.05	true	16	22		N
B6	83-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.0702	28.2304	0.2266				true	0.05	true	16	22		N
B7	83-10.21.15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22		N
