* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160229_CH_Mcap_12.eds
* Experiment Run End Time = 2016-02-29 14:16:37 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments
A1																	
A2	202-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	34.1679	33.961	0.2925				false	0.05	true	16	22	
A3	202-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	33.7542	33.961	0.2925				false	0.05	true	16	22	
A4	(+)-208-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.5639	25.6564	0.1308				false	0.05	true	16	22	
A5	208-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	35.148	34.8675	0.3967				false	0.05	true	16	22	
A6	208-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	34.5871	34.8675	0.3967				false	0.05	true	16	22	
A7	208-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	31.8793	31.9127	0.0472				false	0.05	false	16	22	
A7	208-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	30.3541	30.3588	0.0066				false	0.05	false	16	22	
A8	208-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	31.9461	31.9127	0.0472				false	0.05	false	16	22	
A8	208-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	30.3635	30.3588	0.0066				false	0.05	false	16	22	
A9	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22	
A9	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
A10	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22	
A10	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
A11	(+)-208-12.4.15	C	UNKNOWN	VIC	NFQ-MGB	30.5803	30.6327	0.0742				false	0.05	false	16	22	
A11	(+)-208-12.4.15	D	UNKNOWN	FAM	NFQ-MGB	27.8105	28.0087	0.2802				false	0.05	false	16	22	
A12																	
B1	202-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	27.4552	27.3446	0.1563				false	0.05	true	16	22	
B2	202-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	27.2341	27.3446	0.1563				false	0.05	true	16	22	
B3	202-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	30.7807	30.8055	0.0351				false	0.05	false	16	22	
B3	202-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
B4	202-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	30.8303	30.8055	0.0351				false	0.05	false	16	22	
B4	202-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
B5	208-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	25.5139	25.4871	0.0379				false	0.05	true	16	22	
B6	208-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	25.4604	25.4871	0.0379				false	0.05	true	16	22	
B7	208-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	30.8141	30.8408	0.0379				false	0.05	false	16	22	
B7	208-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	28.5569	28.5212	0.0504				false	0.05	false	16	22	
B8	208-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	30.8676	30.8408	0.0379				false	0.05	false	16	22	
B8	208-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	28.4856	28.5212	0.0504				false	0.05	false	16	22	
B9	224-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	33.2308	33.3075	0.1085				false	0.05	true	16	22	
B10	224-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	33.3842	33.3075	0.1085				false	0.05	true	16	22	
B11	224-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	28.3893	28.4882	0.1399				false	0.05	false	16	22	
B11	224-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
B12	224-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	28.5871	28.4882	0.1399				false	0.05	false	16	22	
B12	224-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
C1	32-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	29.9907	30.0291	0.0543				false	0.05	true	16	22	
C2	32-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	30.0675	30.0291	0.0543				false	0.05	true	16	22	
C3	32-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22	
C3	32-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	29.3102	29.4395	0.1828				false	0.05	false	16	22	
C4	32-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22	
C4	32-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	29.5688	29.4395	0.1828				false	0.05	false	16	22	
C5	69-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	28.5612	28.405	0.2209				false	0.05	true	16	22	
C6	69-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	28.2489	28.405	0.2209				false	0.05	true	16	22	
C7	69-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	30.893	30.9277	0.049				false	0.05	false	16	22	
C7	69-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	31.6581	31.6499	0.0116				false	0.05	false	16	22	
C8	69-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	30.9623	30.9277	0.049				false	0.05	false	16	22	
C8	69-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	31.6417	31.6499	0.0116				false	0.05	false	16	22	
C9	224-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	26.084	26.0247	0.084				false	0.05	true	16	22	
C10	224-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	25.9653	26.0247	0.084				false	0.05	true	16	22	
C11	224-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	29.503	29.799	0.4186				false	0.05	false	16	22	
C11	224-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
C12	224-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	30.095	29.799	0.4186				false	0.05	false	16	22	
C12	224-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
D1	126-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	27.9483	27.7728	0.2483				false	0.05	true	16	22	
D2	126-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	27.5972	27.7728	0.2483				false	0.05	true	16	22	
D3	126-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22	
D3	126-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	29.3512	29.3862	0.0495				false	0.05	false	16	22	
D4	126-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.05	false	16	22	
D4	126-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	29.4212	29.3862	0.0495				false	0.05	false	16	22	
D5	238-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	34.7146	34.8561	0.2001				false	0.05	true	16	22	
D6	238-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	34.9975	34.8561	0.2001				false	0.05	true	16	22	
D7	238-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	31.1848	31.0878	0.1372				false	0.05	false	16	22	
D7	238-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	30.1463	30.1379	0.0119				false	0.05	false	16	22	
D8	238-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	30.9908	31.0878	0.1372				false	0.05	false	16	22	
D8	238-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	30.1295	30.1379	0.0119				false	0.05	false	16	22	
D9	25-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	25.0108	24.9532	0.0815				false	0.05	true	16	22	
D10	25-8.11.15	Mc	UNKNOWN	FAM	NFQ-MGB	24.8956	24.9532	0.0815				false	0.05	true	16	22	
D11	25-8.11.15	C	UNKNOWN	VIC	NFQ-MGB	27.9588	27.925	0.0477				false	0.05	false	16	22	
D11	25-8.11.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
D12	25-8.11.15	C	UNKNOWN	VIC	NFQ-MGB	27.8913	27.925	0.0477				false	0.05	false	16	22	
D12	25-8.11.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
E1	237-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	32.2228	32.0243	0.2807				false	0.05	true	16	22	
E2	237-12.17.15	Mc	UNKNOWN	FAM	NFQ-MGB	31.8258	32.0243	0.2807				false	0.05	true	16	22	
E3	237-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	29.6713	29.5602	0.1571				false	0.05	false	16	22	
E3	237-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
E4	237-12.17.15	C	UNKNOWN	VIC	NFQ-MGB	29.4492	29.5602	0.1571				false	0.05	false	16	22	
E4	237-12.17.15	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.05	false	16	22	
E5	238-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	26.4111	26.2692	0.2006				false	0.05	true	16	22	
E6	238-2.11.16	Mc	UNKNOWN	FAM	NFQ-MGB	26.1274	26.2692	0.2006				false	0.05	true	16	22	
E7	238-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	28.5765	28.5597	0.0237				false	0.05	false	16	22	
E7	238-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	27.5645	27.5481	0.0232				false	0.05	false	16	22	
E8	238-2.11.16	C	UNKNOWN	VIC	NFQ-MGB	28.543	28.5597	0.0237				false	0.05	false	16	22	
E8	238-2.11.16	D	UNKNOWN	FAM	NFQ-MGB	27.5317	27.5481	0.0232				false	0.05	false	16	22	
E9	25-9.14.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.7411	29.6474	0.1325				false	0.05	true	16	22	
E10	25-9.14.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.5538	29.6474	0.1325				false	0.05	true	16	22	
