* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Documents\kbayrecov2015\20160222_CH_Mcap_2.eds
* Experiment Run End Time = 2016-02-22 12:59:02 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP
A1																		N	N
A2	69-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.5984	28.8106	0.3				false	0.05	false	16	22		N	N
A3	69-12.4.15	Mc	UNKNOWN	FAM	NFQ-MGB	29.0227	28.8106	0.3				false	0.05	false	16	22		N	N
A4	(+)78-10.24.14	Mc	UNKNOWN	FAM	NFQ-MGB	27.5752	27.5684	0.0095				false	0.05	false	16	22		N	N
A5	58-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	28.6912	28.1883	0.7112				false	0.05	false	16	22		Y	N
A6	58-10.21.15	Mc	UNKNOWN	FAM	NFQ-MGB	27.6854	28.1883	0.7112				false	0.05	false	16	22		Y	N
A7	58-10.21.15	C	UNKNOWN	VIC	NFQ-MGB	36.3465	36.3727	0.037				false	0.05	false	16	22		N	N
A7	58-10.21.15	D	UNKNOWN	FAM	NFQ-MGB	29.9831	29.9533	0.0421				false	0.05	false	16	22		N	N
A8	58-10.21.15	C	UNKNOWN	VIC	NFQ-MGB	36.3988	36.3727	0.037				false	0.05	false	16	22		N	N
A8	58-10.21.15	D	UNKNOWN	FAM	NFQ-MGB	29.9235	29.9533	0.0421				false	0.05	false	16	22		N	N
A9	(+)78-10.24.14	C	UNKNOWN	VIC	NFQ-MGB	32.0555	32.0996	0.0625				false	0.05	false	16	22		N	N
A9	(+)78-10.24.14	D	UNKNOWN	FAM	NFQ-MGB	30.4371	30.4419	0.0069				false	0.05	false	16	22		N	N
